id,x,y,class,distance,vx,vy
449,2898.225379,703.5,0,23.501080734588378,2898,680
450,2980.602041,703.0612245,0,59.66846240523625,2926,679
451,1195.1929825,703.5614035,0,42.832003048364676,1216,741
452,2647.972222,703.638889,0,97.42158130913101,2689,792
453,2984.804348,703.521739,7,63.71237734764918,2926,679
454,3921.5535715,703.5982145,0,14.120148051405858,3926,717
455,1155.635965,703.9495615,4,70.32171655700333,1212,746
456,1689.7589285,705.2857145,0,145.8185531036555,1547,735
457,2916.0951415,704.105263,0,22.20432998773421,2914,682
458,1103.8214285,704.014881,0,52.82531822170858,1090,755
459,1205.326923,704.689904,0,37.84623685622055,1216,741
460,1275.3509035,703.387048,0,68.06547204288388,1220,743
461,4669.85,704.4333335,0,101.33530272280353,4651,804
462,4674.21,704.62,0,101.84462921529048,4657,805
463,1483.3607425,705.332891,0,45.00199963967363,1521,730
464,4678.9947915,706.015625,0,101.39860623928273,4657,805
465,2454.992424,706.121212,0,248.80858476697443,2687,796
466,1165.444631,706.1560405,2,61.277593713883654,1212,746
467,1196.2416665,707.7833335,0,38.648915587237894,1216,741
468,1290.9879155,706.9229605,2,79.62937225747615,1220,743
469,1146.418033,706.852459,2,74.16994102691308,1090,755
470,1339.212121,707.651515,2,110.28276249311975,1401,799
471,1373.25,707.5,7,95.2644346017967,1403,798
472,1496.7078315,706.8554215,0,33.55265957230585,1521,730
473,2058.929134,707.2086615,0,77.35536004448261,1986,733
474,3586.292857,707.4,0,233.53740011232136,3787,588
475,1348.464602,708.0265485,0,105.0530195703163,1401,799
476,5123.225275,708.054945,0,82.14165537520337,5176,771
477,2590.979866,709.8489935,0,127.89344994307164,2689,792
478,5414.58186,709.0995575,7,208.27643686397985,5406,501
479,1184.937824,708.715026,4,44.80154376844227,1216,741
480,1469.3715415,707.290514,2,55.39856572575162,1508,747
481,1506.3215615,708.9962825,2,25.62445522578169,1521,730
482,1051.5829015,709.9170985,0,41.94598683804454,1034,748
483,1236.2233605,710.2561475,0,36.54254099614192,1220,743
484,1118.080817,708.89254,0,53.985462404605606,1090,755
